Conectado ao TiDB.
Encontrados 293 estabelecimentos.
ID: 30000073, Slug: don-corleone-pizzaria-pacaembu-matriz-24hs, Name: Don Corleone Pizzaria Pacaembu Matriz 24hs, Items: 18
ID: 30000074, Slug: lins-confeitaria-artesanal, Name: LINS, Items: 14
ID: 30000075, Slug: disco-club, Name: Disco Club, Items: 24
ID: 30000076, Slug: shoyu-bar-poke-sushi, Name: Shoyu Bar: Poke & Sushi, Items: 24
ID: 30000077, Slug: pizzaria-camelo, Name: Pizzaria Camelo, Items: 30
ID: 30000078, Slug: mori-ohta-sushi-delivery-jardins, Name: Mori Ohta Sushi Delivery Jardins, Items: 30
ID: 30000079, Slug: padaria-nove-de-julho, Name: Padaria Nove de Julho, Items: 20
ID: 30000080, Slug: padaria-laika, Name: Padaria Laika, Items: 28
ID: 30000081, Slug: barreto-burger-cafe-lapa, Name: Barreto Burger & Café - Lapa, Items: 24
ID: 30000082, Slug: yuzuk-sushi-bar, Name: Yuzuk Sushi Bar, Items: 30
ID: 30000083, Slug: cervejaria-lote, Name: Cervejaria Lote, Items: 20
ID: 30000084, Slug: ginostra-vegan, Name: Ginostra Vegan, Items: 24
ID: 30000085, Slug: frigobar-speakeasy, Name: Frigobar Speakeasy, Items: 16
ID: 30000086, Slug: veridiana-pizzaria-perdizes, Name: Veridiana Pizzaria - Perdizes, Items: 30
ID: 30000087, Slug: manihi-sushi-perdizes, Name: Manihi Sushi Perdizes, Items: 16
ID: 30000088, Slug: macedos-restaurante-e-pizzaria, Name: Macedos Restaurante e Pizzaria, Items: 30
ID: 30000089, Slug: braz-pizzaria-perdizes, Name: Bráz Pizzaria - Perdizes, Items: 30
ID: 30000090, Slug: padaria-a-lareira, Name: Padaria A Lareira, Items: 30
ID: 30000091, Slug: cervejaria-dinastia, Name: Cervejaria Dinastia, Items: 24
ID: 30000092, Slug: bomber-pub, Name: BOMBER Pub, Items: 36
ID: 30000093, Slug: maro-confeitaria, Name: Marô Confeitaria, Items: 24
ID: 30000094, Slug: carioca-club, Name: Carioca Club, Items: 24
ID: 30000095, Slug: hira-ramen-izakaya, Name: Hirá Ramen Izakaya, Items: 30
ID: 30000096, Slug: st-pauls-pub, Name: St. Paul's Pub, Items: 90
ID: 30000097, Slug: bankaa-izakaya, Name: Bankaa izakaya, Items: 24
ID: 30000098, Slug: quincho-cozinha-coquetelaria, Name: Quincho Cozinha & Coquetelaria, Items: 22
ID: 30000099, Slug: sushi-ya, Name: Sushi Yá, Items: 12
ID: 30000100, Slug: cervejaria-nacional, Name: Cervejaria Nacional, Items: 30
ID: 30000101, Slug: partisans-pub, Name: Partisans Pub, Items: 227
ID: 30000102, Slug: le-jazz-boulangerie, Name: Le Jazz Boulangerie, Items: 36
ID: 30000103, Slug: carina-gros-confeitaria-artistica, Name: Carina Gros Confeitaria Artística, Items: 24
ID: 30000104, Slug: beer-island-tap-house, Name: Beer Island Tap House, Items: 20
ID: 30000105, Slug: coffee-lab, Name: Coffee Lab, Items: 30
ID: 30000106, Slug: hoff-sushi-gastronomia, Name: HOFF Sushi & Gastronomia, Items: 24
ID: 30000107, Slug: sushi-house-yasuke, Name: Sushi house yasuke, Items: 24
ID: 30000108, Slug: iroha-sushi-lapa, Name: Iroha Sushi Lapa, Items: 26
ID: 30000109, Slug: cafe-creme, Name: Café Creme, Items: 30
